,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
Reward,-24.25759335943762,-24.29748202336223,-24.467381304880863,-25.59517399833902,-25.597867170804275,-25.58913248216972,-25.578644314018806,-25.578702793616944,-25.58137080629319,-25.58137611967237,-25.584042878315383,-25.58407474602737,-25.586735344253075,-25.58679375421327,-27.184380550549708,-27.18661900147069,-27.186650194573005,-27.191087624063925,-27.195479729014096,-27.195527746182375,-27.197709072692906,-27.19773512980107,-26.77745301289461,-26.779243092820877,-27.215252840039867,-27.204247881880153,-27.206390266704222,-27.20642006669043,-27.21295481131051,-27.214814226665897,-27.214839916314745,-27.216691518237038,-27.216717059056418,-27.22034884966782,-27.22038853509436,-27.22041378694369,-27.22223398598007,-27.22664506067059,-27.228440804221155,-27.228465775328633,-27.228487177629948,-27.22851214522591,-27.230311966704814,-27.230336796940765,-27.23036162531881,-27.23215147039799,-27.23217616383044,-27.233942305733823,-27.235713193082788,-27.231351661752353,-27.231390053827994,-27.23313406539134,-27.234872697641805,-27.238038431187874,-27.238059152581613,-27.241007866393513,-27.241028387457376,-27.241045975861805,-27.242511125987104,-27.243984040388487,-27.245435798366632,-27.2468840562255,-27.24690420669805,-27.24693586928773,-27.244003196961078,-27.245436117465328,-27.246877470464877,-27.26145970129365,-27.26287864420402,-27.264289592818358,-27.264306459982837,-27.259926117300978,-27.261346045392372,-27.262749981541926,-27.265536171665598,-27.265555596332693,-27.266943828601427,-27.268330993340115,-27.268350310222587,-27.26838066390791,-27.27113593091556,-27.272510163949942,-27.27251564401158,-27.273887004586044,-27.275269401025152,-27.275299425469672,-27.2753294487804,-27.275348553934506,-27.276728416052563,-27.27674476477738,-27.27786322288625,-27.28225335433453,-27.284336548368,-27.284351103504946,-25.714929285127152,-27.279973455750632,-27.28101694123809,-25.716632572440247,-25.71934977393109,-25.72062122281426,-25.72062374363034,-25.720638869201817,-25.72065651716476,-25.720674166703706,-25.721954191773847,-25.723242695674816,-25.724347582927276,-25.725438036172918,-25.725453298967114,-25.727491364154645,-25.72750459753638,-25.727506803181655,-27.29007538205167,-25.72751562599602,-25.729735499944468,-25.729748879154574,-25.731993689822307,-25.732009478578053,-25.732025268619996,-27.287266953179103,-27.28765678661979,-27.28766532786329,-27.287669986720513,-27.288024855406622,-27.28824186703814,-27.288458519020946,-27.288461550537026,-27.28846458235407,-27.288682825425486,-27.28868588053858,-27.288907654584648,-27.289131402240148,-27.28913451233538,-27.28935866755101,-27.28936180926236,-27.28937391745896,-27.289301742216153,-27.284914797483168,-27.28478030380539,-27.293551334191502,-27.293550435348063,-27.293164426576407,-27.29252906556738,-27.292515204813267,-27.29251268496272,-27.29188302204705,-27.290644759028485,-27.289430699588653,-27.289423498228846,-27.28941029812171,-27.288811208123644,-27.288214022379165,-27.287628345131868,-25.75349458795438,-25.753503920964008,-25.753517573668287,-25.753531229156454,-25.754517803574753,-25.754539583026986,-25.755548959004354,-25.756573141517112,-25.75760397843395,-25.759703791311804,-27.282808210549856,-27.282799054476772,-27.28128924833032,-27.27690030242589,-27.275426434190376,-27.27103029084432,-27.271020114206618,-27.265791025410582,-27.265779150312195,-27.265767276999508,-27.26492046305999,-27.264084585037267,-27.263256392000212,-27.266817120543845,-27.266805771868416,-27.26599033847438,-27.2659807275961,-27.26518147816972,-27.264391874845472,-27.264382495916227,-25.773790331120235,-25.773807827698445,-25.773825327294507,-25.775085631905142,-25.77510335034115,-25.77639211460688,-25.777683616681443,-25.778993091325145,-25.7790219571103,-25.780357740072656,-25.78038695153471,-27.2553867595115,-27.25537809866339,-27.254473820216376,-27.253456678996915,-27.252442028590533,-27.25122664554316,-23.807180494175324,-23.804566454498048,-24.37243959606721,-24.37244054068306,-25.0353158802308,-25.689591700918218,-24.775377348167854,-24.77537480232874,-24.77534680976026,-24.778468124203,-24.377363450148703,-24.28544195612476,-24.68650673597699,-24.686502696341496,-24.686502023710574,-24.686494636868506,-25.33982283792915,-25.339818416252314,-25.339814004201997,-26.048595080936703,-26.559527450970474,-26.559530493457842,-26.568305975877323,-26.559797207893606,-26.55980315728448,-26.546924905358637,-26.54722246669154,-26.547226690685644,-26.547230313555275,-26.54723454292218,-26.54723877517979,-26.547549086476774,-26.547553524134063,-26.54787889006403,-26.547883524905952,-26.548222724832332,-26.54822685908861,-26.548578543213186,-26.548943369944283,-26.54894854244343,-26.549711202802243,-26.550733748196876,-26.551570174003903,-26.55242303234944,-26.553278203759607,-26.554148685639674,-26.55502010270709,-26.555898706409682,-26.556851512845814,-26.557132361651686,-26.55713630972521,-26.55771445646047,-26.571014162404364,-26.571016166353086,-26.571161608157073,-26.571310132152437,-26.566924764484067,-26.571311326681464,-26.57146368195517,-26.57146701967552,-26.5714703584085,-26.571472179960665,-26.57147552024905,-26.5714776464082,-26.57147977297114,-26.57163294311582,-26.571788031003553,-26.55878639172458,-26.558788264606346,-26.55910161911019,-26.559260066487813,-26.559571623658048,-26.559725854427757,-26.559878765970094,-26.573187591971124,-26.57319087447078,-26.57334060437834,-26.57334119105509,-26.57348820906449,-26.57363220172739,-26.573634171025688,-26.560615786475136,-26.560752784684208,-26.56088585915758,-26.560887671287897,-26.56101648793049,-26.56101823926865,-26.561259555935347,-26.56137317955405,-26.56137451003153,-26.561483215771347,-26.561586625048992,-26.561588927712,-25.57199440901248,-25.57174734551909,-25.5717458053324,-26.5647922610608,-26.56434458774279,-26.563889592283616,-26.56343082907466,-26.562941451560253,-26.562531261233243,-26.56243310308838,-26.562328707824907,-26.562217212635137,-26.56221560722403,-26.5619714836313,-26.561838047780228,-26.56169600607662,-26.561547542390496,-26.565931383712833,-26.56577397399222,-26.56577174227543,-26.565768232303295,-25.5744413396405,-26.556831893107987,-26.556660167772673,-26.556656319233554,-26.556290712932192,-26.5558946948275,-26.555468450611617,-26.56398919358624,-25.576963217722604,-25.576966969202996,-25.576970720360354,-26.563971016696144,-26.568354961376656,-26.568343848038438,-26.55956484427161,-26.559053867969215,-26.559046691764802,-26.558529463411745,-26.55799989486034,-26.55746855486691,-26.552538990052046,-26.551978825828176,-26.551179212643152,-26.550367788996834,-26.549559167842293,-26.547928713047444,-26.547910690473046,-26.54707928099903,-26.545421535280706,-26.544584146237145,-26.543736346956248,-26.542891810840135,-26.5428800115472,-26.542025522879687,-26.54116814372851,-26.540314993843015,-26.543838764525574,-26.54382852868538,-26.54381829257568,-26.54296097507682,-26.542103827979435,-26.541236922567638,-26.54121806609237,-26.540358882254555,-26.544732838552367,-26.543864621694492,-26.548247154533062,-26.54738573695487,-25.565265396508803,-25.56465042849003,-25.564047785339927,-25.5634632869376,-26.540398539201806,-26.5360006031251,-26.535990342366144,-26.535134418573346,-26.534278747328646,-26.533425455125023,-26.532576652194553,-26.53256481440198,-26.53171084331591,-26.53086728458614,-26.530855549601082,-26.530016118892988,-26.524788581647574,-26.523958590343593,-26.5231355555829,-26.53108852417935,-26.53107714673735,-26.521336079129522,-26.519981351298895,-26.518621186021722,-25.555631175330177,-25.55562967690867,-25.555620688718992,-25.5545089621255,-25.553420621199336,-25.55340564537806,-25.55233784668016,-25.551299398438516,-25.54926377181911,-25.54665981249801,-25.544755588182095,-25.544729483387744,-25.54472575466271,-25.542874379929184
Actor Loss,-45.359275817871094,-96.19059753417969,-113.13627624511719,-115.15169525146484,-115.53153228759766,-117.59561920166016,-116.22383117675781,-118.17988586425781,-116.94046020507812,-116.97798156738281,-117.18933868408203,-117.14836120605469,-117.3489761352539,-119.33403015136719,-124.98812103271484,-125.0809326171875,-124.92657470703125,-125.39607238769531,-125.53404235839844,-127.38721466064453,-125.97882080078125,-126.13201141357422,-124.4518814086914,-125.831298828125,-128.0430450439453,-126.63973236083984,-128.0102081298828,-125.6048812866211,-128.40994262695312,-127.1292953491211,-128.30987548828125,-127.43302917480469,-125.83494567871094,-127.8462142944336,-128.98960876464844,-126.11215209960938,-129.2828369140625,-126.3642578125,-126.58370971679688,-126.80548095703125,-128.3926239013672,-129.11256408691406,-129.1469268798828,-129.37635803222656,-128.0704345703125,-130.36737060546875,-128.52853393554688,-128.83493041992188,-130.7906036376953,-131.10336303710938,-131.2969512939453,-129.30162048339844,-130.57615661621094,-130.60150146484375,-131.0174102783203,-130.95863342285156,-131.2211151123047,-130.2270050048828,-130.5310821533203,-133.93907165527344,-131.2137908935547,-132.78518676757812,-133.15748596191406,-135.40707397460938,-133.34744262695312,-133.12258911132812,-136.5045928955078,-134.66824340820312,-135.88772583007812,-135.2074737548828,-135.71737670898438,-137.5146942138672,-139.78604125976562,-138.9690399169922,-137.85540771484375,-140.48281860351562,-139.95518493652344,-142.33302307128906,-143.31414794921875,-145.01254272460938,-142.3884735107422,-144.81935119628906,-148.02467346191406,-147.29269409179688,-146.818359375,-151.9486083984375,-153.4352264404297,-149.6984100341797,-156.819580078125,-156.7735595703125,-161.42160034179688,-156.88046264648438,-160.67202758789062,-161.43368530273438,-161.23582458496094,-174.08096313476562,-169.96437072753906,-170.69139099121094,-171.2513885498047,-175.09625244140625,-182.6363983154297,-187.38812255859375,-186.94403076171875,-192.2909393310547,-204.84864807128906,-211.27847290039062,-218.20899963378906,-218.3846893310547,-234.5674285888672,-236.06761169433594,-251.44082641601562,-262.16229248046875,-273.34674072265625,-286.784423828125,-293.41558837890625,-316.8583068847656,-324.8837890625,-342.4747314453125,-362.7156066894531,-402.7977294921875,-416.5146789550781,-455.256103515625,-487.3306884765625,-517.7257080078125,-540.2402954101562,-580.3510131835938,-635.740966796875,-682.9287719726562,-734.6840209960938,-774.5134887695312,-847.5382690429688,-893.0867309570312,-992.4029541015625,-1071.31201171875,-1129.570068359375,-1233.6500244140625,-1331.5166015625,-1438.3212890625,-1518.5687255859375,-1656.750244140625,-1835.03466796875,-1979.408203125,-2162.6181640625,-2304.232421875,-2449.62158203125,-2639.916748046875,-2800.501953125,-3012.875,-3310.6298828125,-3599.5556640625,-3807.304931640625,-4020.052490234375,-4392.5048828125,-4698.24365234375,-5145.189453125,-5392.53857421875,-5768.05810546875,-6270.54638671875,-6631.599609375,-6839.7607421875,-7263.484375,-7906.5009765625,-8178.5634765625,-8871.1318359375,-9230.732421875,-9648.91796875,-10509.703125,-10685.6357421875,-11450.1474609375,-11986.3427734375,-12185.4990234375,-12944.998046875,-13405.79296875,-13721.6015625,-13640.4873046875,-14273.619140625,-14286.61328125,-14536.4130859375,-14385.455078125,-14050.1708984375,-14435.6103515625,-14326.3662109375,-13667.8134765625,-13484.4931640625,-13785.115234375,-13478.392578125,-12827.427734375,-13074.5439453125,-12540.3759765625,-12126.9462890625,-12379.9306640625,-11872.4365234375,-11468.9345703125,-11525.791015625,-11165.37890625,-11144.9970703125,-11084.3203125,-11242.876953125,-10911.6494140625,-11475.0615234375,-10068.7275390625,-10104.85546875,-10355.9091796875,-10323.7275390625,-10777.828125,-10537.2626953125,-10545.595703125,-10643.8349609375,-10804.7568359375,-10902.2353515625,-10932.5126953125,-11029.6220703125,-11185.0869140625,-11213.3310546875,-11296.986328125,-11408.1044921875,-11467.8984375,-11365.361328125,-11391.4501953125,-12033.158203125,-12603.8818359375,-12418.1416015625,-12247.8701171875,-12066.4638671875,-12496.2646484375,-12061.640625,-12480.9697265625,-12526.80859375,-12391.798828125,-12473.12890625,-12446.4697265625,-12314.2568359375,-12030.1650390625,-12384.1904296875,-12365.27734375,-11954.162109375,-12197.4853515625,-12183.458984375,-12331.2802734375,-11868.30078125,-11668.8310546875,-11667.8974609375,-12314.7373046875,-12081.4306640625,-11832.234375,-11647.8955078125,-11842.9189453125,-11853.158203125,-11680.240234375,-11900.8662109375,-12365.5859375,-11707.458984375,-11960.365234375,-12407.5419921875,-11991.5087890625,-12017.90625,-12447.62890625,-12079.005859375,-12051.384765625,-12058.6455078125,-12070.216796875,-12127.4384765625,-12091.9873046875,-12493.5751953125,-12499.859375,-12112.990234375,-12193.822265625,-11766.3896484375,-12100.99609375,-11751.6513671875,-12111.8544921875,-11749.091796875,-12093.57421875,-12187.5341796875,-12185.625,-12094.2744140625,-11733.6650390625,-12193.060546875,-12078.4951171875,-12092.62890625,-12206.80859375,-11738.5908203125,-12114.0234375,-11735.841796875,-12372.4072265625,-11746.1650390625,-12354.6904296875,-11769.978515625,-11979.6826171875,-11972.7060546875,-12222.59765625,-12219.2412109375,-12133.7919921875,-11974.5146484375,-11803.65625,-11945.958984375,-12071.3916015625,-12053.7568359375,-11708.845703125,-12090.7587890625,-11865.7109375,-11686.8916015625,-12026.578125,-12103.8291015625,-12091.7294921875,-12110.9228515625,-11746.5283203125,-12114.96875,-12094.494140625,-12164.3505859375,-12184.1484375,-11823.201171875,-12206.73828125,-12174.505859375,-11959.2666015625,-11881.2763671875,-12251.861328125,-12185.4501953125,-11872.3095703125,-11898.4501953125,-11890.4052734375,-12233.7587890625,-11913.283203125,-12204.4775390625,-12211.185546875,-12166.0234375,-12155.5,-12041.986328125,-12024.1640625,-12095.6455078125,-12095.40234375,-11719.2490234375,-12025.9150390625,-11723.5712890625,-11810.2978515625,-12097.650390625,-12192.24609375,-11867.9599609375,-11828.7666015625,-11899.0244140625,-12199.978515625,-11946.828125,-11967.8017578125,-12284.546875,-12222.9873046875,-12276.275390625,-12286.8642578125,-12246.794921875,-12269.595703125,-12183.884765625,-12280.39453125,-11830.16796875,-11823.2138671875,-12308.865234375,-11822.2705078125,-11980.8125,-12326.4130859375,-11819.0830078125,-12075.365234375,-11967.4248046875,-12291.74609375,-12285.2939453125,-11810.1396484375,-12278.9775390625,-11914.5078125,-11864.0810546875,-11902.5966796875,-12135.7841796875,-11645.0478515625,-11637.12109375,-12099.3916015625,-11786.5234375,-11638.787109375,-11795.451171875,-11774.04296875,-11846.6220703125,-11862.8857421875,-11903.2236328125,-11880.5244140625,-11978.314453125,-11826.265625,-12071.8310546875,-12098.126953125,-11995.3955078125,-12311.5888671875,-12011.0205078125,-11935.7529296875,-11933.966796875,-11922.208984375,-11971.5947265625,-12160.880859375,-12108.3857421875,-11908.9228515625,-11778.294921875,-11740.5283203125,-11683.90625,-11643.6396484375,-11798.8193359375,-11445.31640625,-11406.65234375
Critic Loss,595.4188842773438,592.0361328125,598.626220703125,655.05517578125,655.1652221679688,654.6939697265625,654.1358642578125,654.1195068359375,654.2382202148438,654.2222290039062,654.3441162109375,654.332275390625,654.4557495117188,654.4464721679688,738.7306518554688,738.8397216796875,738.8294677734375,739.0595703125,739.2872924804688,739.2786865234375,739.386474609375,739.3771362304688,716.6870727539062,716.7725219726562,740.2982177734375,739.6887817382812,739.794677734375,739.7854614257812,740.1298828125,740.2196655273438,740.2092895507812,740.2985229492188,740.2887573242188,740.4747924804688,740.4652099609375,740.454345703125,740.5408935546875,740.767822265625,740.8522338867188,740.839599609375,740.8261108398438,740.8121948242188,740.894287109375,740.8790283203125,740.8631591796875,740.94287109375,740.92626953125,741.0042724609375,741.08154296875,740.8243408203125,740.8056030273438,740.8786010742188,740.9502563476562,741.0983276367188,741.07373046875,741.20751953125,741.18017578125,741.1515502929688,741.2000122070312,741.2470703125,741.2908935546875,741.33203125,741.2935791015625,741.2534790039062,741.0497436523438,741.0811157226562,741.1102905273438,741.8524780273438,741.8748168945312,741.8934936523438,741.8326416015625,741.528564453125,741.5369873046875,741.5401000976562,741.6139526367188,741.53271484375,741.52099609375,741.5038452148438,741.4056396484375,741.2984619140625,741.3314819335938,741.28125,741.147705078125,741.0787353515625,740.999267578125,740.8362426757812,740.6630859375,740.4766235351562,740.3478393554688,740.1281127929688,739.951904296875,739.9340209960938,739.7708129882812,739.4732666015625,656.27685546875,738.5665283203125,738.248779296875,655.3047485351562,655.0349731445312,654.6587524414062,654.1829223632812,653.6694946289062,653.1117553710938,652.5067749023438,651.9156494140625,651.27001953125,650.5609130859375,649.77783203125,648.8685302734375,647.980224609375,646.8869018554688,645.6947631835938,726.16748046875,642.9698486328125,641.5115966796875,639.7985229492188,638.0281982421875,635.9403076171875,633.651123046875,711.70947265625,708.8150634765625,705.6158447265625,702.1060791015625,698.2864379882812,694.1093139648438,689.5564575195312,684.5941162109375,679.2009887695312,673.3547973632812,667.0045776367188,660.1353759765625,652.7091064453125,644.6869506835938,636.04541015625,626.7453002929688,616.7472534179688,606.0224609375,594.3429565429688,582.0715942382812,569.432861328125,555.53662109375,538.3326416015625,522.5133666992188,505.7859191894531,488.14727783203125,469.5828552246094,450.1162109375,429.7700500488281,408.5708312988281,386.5553283691406,363.78857421875,340.33990478515625,316.2944030761719,241.69583129882812,219.1896209716797,196.69789123535156,174.3902130126953,152.50379943847656,131.1321258544922,110.61431121826172,91.1381607055664,72.95729064941406,56.37458038330078,63.46401596069336,47.15155792236328,32.97832489013672,21.100296020507812,11.875226020812988,5.289101600646973,1.4032068252563477,0.013054847717285156,0.7802202701568604,3.192887306213379,6.614038467407227,10.369783401489258,13.836365699768066,16.474164962768555,18.074953079223633,18.465232849121094,17.766965866088867,16.14485740661621,13.907291412353516,11.367565155029297,19.834671020507812,15.805283546447754,11.917328834533691,8.413681983947754,5.509197235107422,3.2349042892456055,1.617293357849121,0.6019880771636963,0.10401254892349243,0.008292734622955322,0.20665192604064941,5.050422191619873,6.176972389221191,7.0349273681640625,7.574589729309082,7.785680294036865,7.68518590927124,1.521873950958252,1.3267710208892822,2.6437997817993164,2.2838175296783447,4.171726226806641,6.450558185577393,2.061495780944824,1.5279035568237305,1.0619664192199707,0.6849825382232666,0.049141883850097656,0.003725290298461914,0.0282135009765625,6.890296936035156e-05,0.0186920166015625,0.0702974796295166,0.07705503702163696,0.02928978204727173,0.0050473809242248535,0.9820151925086975,0.28927379846572876,0.3339462876319885,0.3499346375465393,0.3689613342285156,0.3589460849761963,0.34964585304260254,0.3120269775390625,0.2656174302101135,0.21562600135803223,0.16623139381408691,0.12035614252090454,0.08089691400527954,0.04892563819885254,0.025493860244750977,0.010019540786743164,0.001974344253540039,5.0127506256103516e-05,0.002780914306640625,0.008606910705566406,0.016117095947265625,0.023807525634765625,0.030727624893188477,0.03635650873184204,0.04017597436904907,0.041657447814941406,0.041160643100738525,0.03881746530532837,0.035064756870269775,0.029962122440338135,0.024490416049957275,0.019027292728424072,0.01373291015625,0.011909544467926025,0.007681906223297119,0.004281044006347656,0.0019311904907226562,0.0003910660743713379,3.153085708618164e-05,0.0001373291015625,0.000708162784576416,0.0015450119972229004,0.0024805068969726562,0.0033762454986572266,0.004122793674468994,0.004639685153961182,0.0049782395362854,0.0050473809242248535,0.006849825382232666,0.006257057189941406,0.005617678165435791,0.004706442356109619,0.0038757920265197754,0.0029111504554748535,0.0020843148231506348,0.0005608201026916504,0.00021457672119140625,4.673004150390625e-05,1.4901161193847656e-06,5.728006362915039e-05,0.00017380714416503906,0.00034427642822265625,7.724761962890625e-05,0.0001431107521057129,0.00019365549087524414,0.0002675652503967285,0.00030046701431274414,0.00033527612686157227,0.000308990478515625,0.00027561187744140625,0.0002675652503967285,0.00022178888320922852,0.00016742944717407227,0.0001316666603088379,0.9613189697265625,0.9173112511634827,0.8292734622955322,0.02203369140625,0.041359007358551025,0.06092315912246704,0.0781431794166565,0.09091049432754517,0.09780889749526978,0.09964996576309204,0.09583377838134766,0.08770042657852173,0.07664895057678223,0.0627443790435791,0.048602163791656494,0.035247862339019775,0.023357629776000977,0.014960825443267822,0.007554054260253906,0.002832651138305664,0.000461578369140625,0.9980478286743164,0.0002675652503967285,0.0002675652503967285,0.00021457672119140625,0.00020748376846313477,0.00021457672119140625,0.00020748376846313477,1.722574234008789e-05,0.9781480431556702,0.9205877780914307,0.8212890625,0.02365708351135254,0.04817253351211548,0.07225281000137329,0.088134765625,0.1027565598487854,0.11170870065689087,0.11301809549331665,0.1079866886138916,0.09750372171401978,0.08089691400527954,0.022985994815826416,0.015140533447265625,0.008743345737457275,0.004154205322265625,0.0013952851295471191,0.00010514259338378906,0.00018030405044555664,0.0011682510375976562,0.0027042031288146973,0.0044748783111572266,0.006103515625,0.0074694156646728516,0.008292734622955322,0.008516550064086914,0.008292734622955322,0.006769239902496338,0.005876779556274414,0.0048754215240478516,0.0036364197731018066,0.002553999423980713,0.0015642642974853516,0.000858306884765625,0.00036263465881347656,2.384185791015625e-05,2.1517276763916016e-05,0.00028377771377563477,0.0005724430084228516,0.908447265625,0.8449092507362366,0.7423067688941956,0.6149377822875977,0.08103585243225098,0.12566471099853516,0.16903018951416016,0.20289570093154907,0.2236347794532776,0.2296786904335022,0.2217913269996643,0.2017974853515625,0.17408615350723267,0.14117485284805298,0.1070261001586914,0.07503533363342285,0.04542642831802368,0.024337828159332275,0.009922027587890625,0.00299072265625,1.52587890625e-05,0.0025293827056884766,0.008159875869750977,0.015260934829711914,1.2345075607299805,1.210752010345459,1.1154577732086182,0.9680330753326416,0.788870096206665,0.6012306213378906,0.4230079650878906,0.26839280128479004,0.14710670709609985,0.0636034607887268,0.01624131202697754,0.00011539459228515625,0.008880853652954102,0.03433710336685181
