,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Reward,-24.25759335943762,-24.29748202336223,-24.467381304880863,-25.59517399833902,-25.597867170804275,-25.58913248216972,-25.578644314018806,-25.578702793616944,-25.58137080629319,-25.58137611967237,-25.584042878315383,-25.58407474602737,-25.586735344253075,-25.58679375421327,-27.184380550549708,-27.18661900147069,-27.186650194573005,-27.191087624063925,-27.195479729014096,-27.195527746182375,-27.197709072692906,-27.19773512980107,-26.77745301289461,-26.779243092820877,-27.215252840039867,-27.204247881880153,-27.206390266704222,-27.20642006669043,-27.21295481131051,-27.214814226665897,-27.214839916314745,-27.216691518237038,-27.216717059056418,-27.22034884966782,-27.22038853509436,-27.22041378694369,-27.22223398598007,-27.22664506067059,-27.228440804221155,-27.228465775328633,-27.228487177629948,-27.22851214522591,-27.230311966704814,-27.230336796940765,-27.23036162531881,-27.23215147039799,-27.23217616383044,-27.233942305733823,-27.235713193082788,-27.231351661752353,-27.231390053827994,-27.23313406539134,-27.234872697641805,-27.238038431187874,-27.238059152581613,-27.241007866393513,-27.241028387457376,-27.241045975861805,-27.242511125987104,-27.243984040388487,-27.245435798366632,-27.2468840562255,-27.24690420669805,-27.24693586928773,-27.244003196961078,-27.245436117465328,-27.246877470464877,-27.26145970129365,-27.26287864420402,-27.264289592818358,-27.264306459982837,-27.259926117300978,-27.261346045392372,-27.262749981541926,-27.265536171665598,-27.265555596332693,-27.266943828601427,-27.268330993340115,-27.268350310222587,-27.26838066390791,-27.27113593091556,-27.272510163949942,-27.27251564401158,-27.273887004586044,-27.275269401025152,-27.275299425469672,-27.2753294487804,-27.275348553934506,-27.276728416052563,-27.27674476477738,-27.27786322288625,-27.28225335433453,-27.284336548368,-27.284351103504946,-25.714929285127152,-27.279973455750632,-27.28101694123809,-25.716632572440247,-25.71934977393109,-25.72062122281426,-25.72062374363034,-25.720638869201817,-25.72065651716476,-25.720674166703706,-25.721954191773847,-25.723242695674816,-25.724347582927276,-25.725438036172918,-25.725453298967114,-25.727491364154645,-25.72750459753638,-25.727506803181655,-27.29007538205167,-25.72751562599602,-25.729735499944468,-25.729748879154574,-25.731993689822307,-25.732009478578053,-25.732025268619996,-27.287266953179103,-27.28765678661979,-27.28766532786329,-27.287669986720513,-27.288024855406622,-27.28824186703814,-27.288458519020946,-27.288461550537026,-27.28846458235407,-27.288682825425486,-27.28868588053858,-27.288907654584648,-27.289131402240148,-27.28913451233538,-27.28935866755101,-27.28936180926236,-27.28937391745896,-27.289301742216153,-27.284914797483168,-27.28478030380539,-27.293551334191502,-27.293550435348063,-27.293164426576407,-27.29252906556738,-27.292515204813267,-27.29251268496272,-27.29188302204705,-27.290644759028485,-27.289430699588653,-27.289423498228846,-27.28941029812171,-27.288811208123644,-27.288214022379165,-27.287628345131868,-25.75349458795438,-25.753503920964008,-25.753517573668287,-25.753531229156454,-25.754517803574753,-25.754539583026986,-25.755548959004354,-25.756573141517112,-25.75760397843395,-25.759703791311804,-27.282808210549856,-27.282799054476772,-27.28128924833032,-27.27690030242589,-27.275426434190376,-27.27103029084432,-27.271020114206618,-27.265791025410582,-27.265779150312195,-27.265767276999508,-27.26492046305999,-27.264084585037267,-27.263256392000212,-27.266817120543845,-27.266805771868416,-27.26599033847438,-27.2659807275961,-27.26518147816972,-27.264391874845472,-27.264382495916227,-25.773790331120235,-25.773807827698445,-25.773825327294507,-25.775085631905142,-25.77510335034115,-25.77639211460688,-25.777683616681443,-25.778993091325145,-25.7790219571103,-25.780357740072656,-25.78038695153471,-27.2553867595115,-27.25537809866339,-27.254473820216376,-27.253456678996915,-27.252442028590533,-27.25122664554316
Actor Loss,-45.359275817871094,-96.19059753417969,-113.13627624511719,-115.15169525146484,-115.53153228759766,-117.59561920166016,-116.22383117675781,-118.17988586425781,-116.94046020507812,-116.97798156738281,-117.18933868408203,-117.14836120605469,-117.3489761352539,-119.33403015136719,-124.98812103271484,-125.0809326171875,-124.92657470703125,-125.39607238769531,-125.53404235839844,-127.38721466064453,-125.97882080078125,-126.13201141357422,-124.4518814086914,-125.831298828125,-128.0430450439453,-126.63973236083984,-128.0102081298828,-125.6048812866211,-128.40994262695312,-127.1292953491211,-128.30987548828125,-127.43302917480469,-125.83494567871094,-127.8462142944336,-128.98960876464844,-126.11215209960938,-129.2828369140625,-126.3642578125,-126.58370971679688,-126.80548095703125,-128.3926239013672,-129.11256408691406,-129.1469268798828,-129.37635803222656,-128.0704345703125,-130.36737060546875,-128.52853393554688,-128.83493041992188,-130.7906036376953,-131.10336303710938,-131.2969512939453,-129.30162048339844,-130.57615661621094,-130.60150146484375,-131.0174102783203,-130.95863342285156,-131.2211151123047,-130.2270050048828,-130.5310821533203,-133.93907165527344,-131.2137908935547,-132.78518676757812,-133.15748596191406,-135.40707397460938,-133.34744262695312,-133.12258911132812,-136.5045928955078,-134.66824340820312,-135.88772583007812,-135.2074737548828,-135.71737670898438,-137.5146942138672,-139.78604125976562,-138.9690399169922,-137.85540771484375,-140.48281860351562,-139.95518493652344,-142.33302307128906,-143.31414794921875,-145.01254272460938,-142.3884735107422,-144.81935119628906,-148.02467346191406,-147.29269409179688,-146.818359375,-151.9486083984375,-153.4352264404297,-149.6984100341797,-156.819580078125,-156.7735595703125,-161.42160034179688,-156.88046264648438,-160.67202758789062,-161.43368530273438,-161.23582458496094,-174.08096313476562,-169.96437072753906,-170.69139099121094,-171.2513885498047,-175.09625244140625,-182.6363983154297,-187.38812255859375,-186.94403076171875,-192.2909393310547,-204.84864807128906,-211.27847290039062,-218.20899963378906,-218.3846893310547,-234.5674285888672,-236.06761169433594,-251.44082641601562,-262.16229248046875,-273.34674072265625,-286.784423828125,-293.41558837890625,-316.8583068847656,-324.8837890625,-342.4747314453125,-362.7156066894531,-402.7977294921875,-416.5146789550781,-455.256103515625,-487.3306884765625,-517.7257080078125,-540.2402954101562,-580.3510131835938,-635.740966796875,-682.9287719726562,-734.6840209960938,-774.5134887695312,-847.5382690429688,-893.0867309570312,-992.4029541015625,-1071.31201171875,-1129.570068359375,-1233.6500244140625,-1331.5166015625,-1438.3212890625,-1518.5687255859375,-1656.750244140625,-1835.03466796875,-1979.408203125,-2162.6181640625,-2304.232421875,-2449.62158203125,-2639.916748046875,-2800.501953125,-3012.875,-3310.6298828125,-3599.5556640625,-3807.304931640625,-4020.052490234375,-4392.5048828125,-4698.24365234375,-5145.189453125,-5392.53857421875,-5768.05810546875,-6270.54638671875,-6631.599609375,-6839.7607421875,-7263.484375,-7906.5009765625,-8178.5634765625,-8871.1318359375,-9230.732421875,-9648.91796875,-10509.703125,-10685.6357421875,-11450.1474609375,-11986.3427734375,-12185.4990234375,-12944.998046875,-13405.79296875,-13721.6015625,-13640.4873046875,-14273.619140625,-14286.61328125,-14536.4130859375,-14385.455078125,-14050.1708984375,-14435.6103515625,-14326.3662109375,-13667.8134765625,-13484.4931640625,-13785.115234375,-13478.392578125,-12827.427734375,-13074.5439453125,-12540.3759765625,-12126.9462890625,-12379.9306640625,-11872.4365234375,-11468.9345703125,-11525.791015625,-11165.37890625,-11144.9970703125,-11084.3203125,-11242.876953125,-10911.6494140625,-11475.0615234375
Critic Loss,595.4188842773438,592.0361328125,598.626220703125,655.05517578125,655.1652221679688,654.6939697265625,654.1358642578125,654.1195068359375,654.2382202148438,654.2222290039062,654.3441162109375,654.332275390625,654.4557495117188,654.4464721679688,738.7306518554688,738.8397216796875,738.8294677734375,739.0595703125,739.2872924804688,739.2786865234375,739.386474609375,739.3771362304688,716.6870727539062,716.7725219726562,740.2982177734375,739.6887817382812,739.794677734375,739.7854614257812,740.1298828125,740.2196655273438,740.2092895507812,740.2985229492188,740.2887573242188,740.4747924804688,740.4652099609375,740.454345703125,740.5408935546875,740.767822265625,740.8522338867188,740.839599609375,740.8261108398438,740.8121948242188,740.894287109375,740.8790283203125,740.8631591796875,740.94287109375,740.92626953125,741.0042724609375,741.08154296875,740.8243408203125,740.8056030273438,740.8786010742188,740.9502563476562,741.0983276367188,741.07373046875,741.20751953125,741.18017578125,741.1515502929688,741.2000122070312,741.2470703125,741.2908935546875,741.33203125,741.2935791015625,741.2534790039062,741.0497436523438,741.0811157226562,741.1102905273438,741.8524780273438,741.8748168945312,741.8934936523438,741.8326416015625,741.528564453125,741.5369873046875,741.5401000976562,741.6139526367188,741.53271484375,741.52099609375,741.5038452148438,741.4056396484375,741.2984619140625,741.3314819335938,741.28125,741.147705078125,741.0787353515625,740.999267578125,740.8362426757812,740.6630859375,740.4766235351562,740.3478393554688,740.1281127929688,739.951904296875,739.9340209960938,739.7708129882812,739.4732666015625,656.27685546875,738.5665283203125,738.248779296875,655.3047485351562,655.0349731445312,654.6587524414062,654.1829223632812,653.6694946289062,653.1117553710938,652.5067749023438,651.9156494140625,651.27001953125,650.5609130859375,649.77783203125,648.8685302734375,647.980224609375,646.8869018554688,645.6947631835938,726.16748046875,642.9698486328125,641.5115966796875,639.7985229492188,638.0281982421875,635.9403076171875,633.651123046875,711.70947265625,708.8150634765625,705.6158447265625,702.1060791015625,698.2864379882812,694.1093139648438,689.5564575195312,684.5941162109375,679.2009887695312,673.3547973632812,667.0045776367188,660.1353759765625,652.7091064453125,644.6869506835938,636.04541015625,626.7453002929688,616.7472534179688,606.0224609375,594.3429565429688,582.0715942382812,569.432861328125,555.53662109375,538.3326416015625,522.5133666992188,505.7859191894531,488.14727783203125,469.5828552246094,450.1162109375,429.7700500488281,408.5708312988281,386.5553283691406,363.78857421875,340.33990478515625,316.2944030761719,241.69583129882812,219.1896209716797,196.69789123535156,174.3902130126953,152.50379943847656,131.1321258544922,110.61431121826172,91.1381607055664,72.95729064941406,56.37458038330078,63.46401596069336,47.15155792236328,32.97832489013672,21.100296020507812,11.875226020812988,5.289101600646973,1.4032068252563477,0.013054847717285156,0.7802202701568604,3.192887306213379,6.614038467407227,10.369783401489258,13.836365699768066,16.474164962768555,18.074953079223633,18.465232849121094,17.766965866088867,16.14485740661621,13.907291412353516,11.367565155029297,19.834671020507812,15.805283546447754,11.917328834533691,8.413681983947754,5.509197235107422,3.2349042892456055,1.617293357849121,0.6019880771636963,0.10401254892349243,0.008292734622955322,0.20665192604064941,5.050422191619873,6.176972389221191,7.0349273681640625,7.574589729309082,7.785680294036865,7.68518590927124
