,Energy Consumption (J)
415,3137888.0
416,3145431.0
417,3152974.0
418,3160517.0
419,3168060.0
420,3175603.0
421,3183146.0
422,3190689.0
423,3198232.0
424,3205775.0
425,3213318.0
426,3220861.0
427,3228404.0
428,3235947.0
429,3243490.0
430,3251033.0
431,3258576.0
432,3266119.0
433,3273662.0
434,3281205.0
435,3288748.0
436,3296291.0
437,3303834.0
438,3311377.0
439,3318920.0
440,3326463.0
441,3334006.0
442,3341549.0
443,3349092.0
444,3356635.0
445,3364178.0
446,3371721.0
447,3379264.0
448,3386807.0
449,3394350.0
450,3401893.0
451,3409436.0
452,3416979.0
453,3424522.0
454,3432065.0
455,3439608.0
456,3447151.0
457,3454694.0
458,3462237.0
459,3469780.0
460,3477323.0
461,3484866.0
462,3492409.0
463,3499952.0
464,3507495.0
465,3515038.0
466,3522581.0
467,3530124.0
468,3537667.0
469,3545210.0
470,3552753.0
471,3560296.0
472,3567839.0
473,3575382.0
474,3582925.0
475,3590468.0
476,3598011.0
477,3605554.0
478,3613097.0
479,3620640.0
480,3628183.0
481,3635726.0
482,3643269.0
483,3650812.0
484,3658355.0
485,3665898.0
486,3673441.0
487,3680984.0
488,3688527.0
489,3696070.0
490,3703613.0
491,3711156.0
492,3718699.0
493,3726242.0
494,3733785.0
495,3741328.0
496,3748871.0
497,3756414.0
498,3763957.0
499,3771500.0
500,3779043.0
501,3786586.0
502,3794129.0
503,3801672.0
504,3809215.0
505,3816758.0
506,3824301.0
507,3831844.0
508,3839387.0
509,3846930.0
510,3854473.0
511,3862016.0
512,3869559.0
513,3877102.0
514,3884645.0
515,3892188.0
516,3899731.0
517,3907274.0
518,3914817.0
519,3922360.0
520,3929903.0
521,3937446.0
522,3944989.0
523,3952532.0
524,3960075.0
525,3967618.0
526,3975161.0
527,3982704.0
528,3990247.0
529,3997790.0
530,4005333.0
531,4012876.0
532,4020419.0
533,4027962.0
534,4035505.0
535,4043048.0
536,4050591.0
537,4058134.0
538,4065677.0
539,4073220.0
540,4080763.0
541,4088306.0
542,4095849.0
543,4103392.0
544,4110935.0
545,4118478.0
546,4126021.0
547,4133564.0
548,4141107.0
549,4148650.0
550,4156193.0
551,4163736.0
552,4171279.0
553,4178822.0
554,4186365.0
555,4193908.0
556,4201451.0
557,4208994.0
558,4216537.0
559,4224080.0
560,4231623.0
561,4239166.0
562,4246709.0
563,4254252.0
564,4261795.0
565,4269338.0
566,4276881.0
567,4284424.0
568,4291967.0
569,4299510.0
570,4307053.0
571,4314596.0
572,4322139.0
573,4329682.0
574,4337225.0
575,4344768.0
576,4352311.0
577,4359854.0
578,4367397.0
579,4374940.0
580,4382483.0
581,4390026.0
582,4397569.0
583,4405112.0
584,4412655.0
585,4420198.0
586,4427741.0
587,4435284.0
588,4442827.0
589,4450370.0
590,4457913.0
591,4465456.0
592,4472999.0
593,4480542.0
594,4488085.0
595,4495628.0
596,4503171.0
597,4510714.0
598,4518257.0
599,4525800.0
600,4533343.0
601,4540886.0
602,4548429.0
603,4555972.0
604,4563515.0
605,4571058.0
606,4578601.0
607,4586144.0
608,4593687.0
609,4601230.0
610,4608773.0
611,4616316.0
612,4623859.0
613,4631402.0
614,4638945.0
615,4646488.0
616,4654031.0
617,4661574.0
618,4669117.0
619,4676660.0
620,4684203.0
621,4691746.0
622,4699289.0
623,4706832.0
624,4714375.0
625,4721918.0
626,4729461.0
627,4737004.0
628,4744547.0
629,4752090.0
630,4759633.0
631,4767176.0
632,4774719.0
633,4782262.0
634,4789805.0
635,4797348.0
636,4804891.0
637,4812434.0
638,4819977.0
639,4827520.0
640,4835063.0
641,4842606.0
642,4850149.0
643,4857692.0
644,4865235.0
645,4872778.0
646,4880321.0
647,4887864.0
648,4895407.0
649,4902950.0
650,4910493.0
651,4918036.0
652,4925579.0
653,4933122.0
654,4940665.0
655,4948208.0
656,4955751.0
657,4963294.0
658,4970837.0
659,4978380.0
660,4985923.0
661,4993466.0
662,5001009.0
663,5008552.0
664,5016095.0
665,5023638.0
666,5031181.0
667,5038724.0
668,5046267.0
669,5053810.0
670,5061353.0
671,5068896.0
672,5076439.0
673,5083982.0
674,5091525.0
675,5099068.0
676,5106611.0
677,5114154.0
678,5121697.0
679,5129240.0
680,5136783.0
681,5144326.0
682,5151869.0
